URL,URL Type,HTTP Status,Indexable,Canonical,Title,H1,Last Modified,Sitemap Included,Primary Keyword,Search Intent,Priority,Action
https://www.seoindiatech.com,Core,200,Yes,https://www.seoindiatech.com,SEO Company in India | SEO Agency & SEO Services | SEO India Tech,,,Yes,,Brand/Nav,P0,Maintain SEO Company India positioning
https://www.seoindiatech.com/who-we-are,Core,200,Yes,https://www.seoindiatech.com/who-we-are,About SEO India Tech | AI SEO & Digital Marketing Experts,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/contact-us,Core,200,Yes,https://www.seoindiatech.com/contact-us,Contact SEO India Tech | Free Consultation & Project Enquiry,,,Yes,,Brand/Nav,P0,Enquiry-only — do not noindex
https://www.seoindiatech.com/seo-packages,Core,200,Yes,https://www.seoindiatech.com/seo-packages,SEO Packages & Pricing | SEO India Tech,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/blog,Core,200,Yes,https://www.seoindiatech.com/blog,Digital Marketing & SEO Blog | SEO India Tech,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/industries,Core,200,Yes,https://www.seoindiatech.com/industries,Industry SEO Services | SEO India Tech,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/privacy-policy,Legal,200,Yes,https://www.seoindiatech.com/privacy-policy,Privacy Policy | SEO India Tech,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/terms,Legal,200,Yes,https://www.seoindiatech.com/terms,Terms of Service | SEO India Tech,,,Yes,,Brand/Nav,P2,Monitor
https://www.seoindiatech.com/services/seo,Service,200,Yes,https://www.seoindiatech.com/services/seo,SEO Services in India | SEO India Tech,SEO Services in India,,Yes,SEO services India,Commercial,P0,Primary commercial SEO hub — strongest internal links
https://www.seoindiatech.com/services/digital-marketing,Service,200,Yes,https://www.seoindiatech.com/services/digital-marketing,Premium service template,(template),,Yes,digital-marketing,Commercial,P1,Monitor
https://www.seoindiatech.com/services/paid-advertising,Service,200,Yes,https://www.seoindiatech.com/services/paid-advertising,Premium service template,(template),,Yes,paid-advertising,Commercial,P1,Monitor
https://www.seoindiatech.com/services/design-and-development,Service,200,Yes,https://www.seoindiatech.com/services/design-and-development,Premium service template,(template),,Yes,design-and-development,Commercial,P1,Monitor
